ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
87648239787,black-geo-print,MERGE,Black/Geo Print,,2024-07-12 13:12:14 -0600,shopify--color-pattern,Color,,52,color,#000000
87648239787,black-geo-print,MERGE,Black/Geo Print,,2024-07-12 13:12:14 -0600,shopify--color-pattern,Color,,53,image,
87648239787,black-geo-print,MERGE,Black/Geo Print,,2024-07-12 13:12:14 -0600,shopify--color-pattern,Color,,54,color_taxonomy_reference,gid://shopify/TaxonomyValue/1
87648239787,black-geo-print,MERGE,Black/Geo Print,,2024-07-12 13:12:14 -0600,shopify--color-pattern,Color,,55,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
91381366955,monument-grey,MERGE,Monument Grey,,2024-08-14 13:49:20 -0600,shopify--color-pattern,Color,true,56,label,Monument Grey
91381366955,monument-grey,MERGE,Monument Grey,,2024-08-14 13:49:20 -0600,shopify--color-pattern,Color,,57,color,#808080
91381366955,monument-grey,MERGE,Monument Grey,,2024-08-14 13:49:20 -0600,shopify--color-pattern,Color,,58,image,
91381366955,monument-grey,MERGE,Monument Grey,,2024-08-14 13:49:20 -0600,shopify--color-pattern,Color,,59,color_taxonomy_reference,gid://shopify/TaxonomyValue/8
91381366955,monument-grey,MERGE,Monument Grey,,2024-08-14 13:49:20 -0600,shopify--color-pattern,Color,,60,pattern_taxonomy_reference,gid://shopify/TaxonomyValue/2874
72260616363,adults,MERGE,Adults,,2024-06-26 11:27:49 -0600,shopify--age-group,Age group,true,61,label,Adults
72260616363,adults,MERGE,Adults,,2024-06-26 11:27:49 -0600,shopify--age-group,Age group,,62,taxonomy_reference,gid://shopify/TaxonomyValue/2403
72260583595,unisex,MERGE,Unisex,,2024-06-26 11:27:49 -0600,shopify--target-gender,Target gender,true,63,label,Unisex
72260583595,unisex,MERGE,Unisex,,2024-06-26 11:27:49 -0600,shopify--target-gender,Target gender,,64,taxonomy_reference,gid://shopify/TaxonomyValue/20
80240083115,xl,MERGE,XL,,2024-07-09 10:13:02 -0600,shopify--size,Size,true,65,label,XL
80240083115,xl,MERGE,XL,,2024-07-09 10:13:02 -0600,shopify--size,Size,,66,taxonomy_reference,gid://shopify/TaxonomyValue/17090
80239919275,l,MERGE,L,,2024-07-09 10:13:02 -0600,shopify--size,Size,true,67,label,L
80239919275,l,MERGE,L,,2024-07-09 10:13:02 -0600,shopify--size,Size,,68,taxonomy_reference,gid://shopify/TaxonomyValue/17089
80240214187,xxl,MERGE,XXL,,2024-07-09 10:13:03 -0600,shopify--size,Size,true,69,label,XXL
80240214187,xxl,MERGE,XXL,,2024-07-09 10:13:03 -0600,shopify--size,Size,,70,taxonomy_reference,gid://shopify/TaxonomyValue/17091
80239591595,s,MERGE,S,,2024-07-09 10:13:01 -0600,shopify--size,Size,true,71,label,S
80239591595,s,MERGE,S,,2024-07-09 10:13:01 -0600,shopify--size,Size,,72,taxonomy_reference,gid://shopify/TaxonomyValue/17087
80239722667,m,MERGE,M,,2024-07-09 10:13:01 -0600,shopify--size,Size,true,73,label,M
80239722667,m,MERGE,M,,2024-07-09 10:13:01 -0600,shopify--size,Size,,74,taxonomy_reference,gid://shopify/TaxonomyValue/17088
242195693933,mens-insulated-jersey-collection-text-only,MERGE,Men's Road / Gravel Insulated Jersey Collection (Text Only),Active,2025-08-15 13:46:21 -0600,collection_sub_category,Collection Sub Category,true,75,entry_title,Men's Road / Gravel Insulated Jersey Collection (Text Only)
242195693933,mens-insulated-jersey-collection-text-only,MERGE,Men's Road / Gravel Insulated Jersey Collection (Text Only),Active,2025-08-15 13:46:21 -0600,collection_sub_category,Collection Sub Category,,76,title,Men's Insulated Jerseys
242195693933,mens-insulated-jersey-collection-text-only,MERGE,Men's Road / Gravel Insulated Jersey Collection (Text Only),Active,2025-08-15 13:46:21 -0600,collection_sub_category,Collection Sub Category,,77,image,
242195693933,mens-insulated-jersey-collection-text-only,MERGE,Men's Road / Gravel Insulated Jersey Collection (Text Only),Active,2025-08-15 13:46:21 -0600,collection_sub_category,Collection Sub Category,,78,url,https://www.pearlizumi.com/collections/mens-road-gravel-insulated-jerseys
237909016941,all-mens-collection-text-only,MERGE,All Men's Collection (Text Only),Active,2025-07-31 12:38:53 -0600,collection_sub_category,Collection Sub Category,true,79,entry_title,All Men's Collection (Text Only)
237909016941,all-mens-collection-text-only,MERGE,All Men's Collection (Text Only),Active,2025-07-31 12:38:53 -0600,collection_sub_category,Collection Sub Category,,80,title,Men's
237909016941,all-mens-collection-text-only,MERGE,All Men's Collection (Text Only),Active,2025-07-31 12:38:53 -0600,collection_sub_category,Collection Sub Category,,81,image,
237909016941,all-mens-collection-text-only,MERGE,All Men's Collection (Text Only),Active,2025-07-31 12:38:53 -0600,collection_sub_category,Collection Sub Category,,82,url,https://www.pearlizumi.com/collections/mens
242197070189,mens-road-gravel-shorts-collection-text-only,MERGE,Men's Road / Gravel Shorts Collection (Text Only),Active,2025-08-15 14:11:26 -0600,collection_sub_category,Collection Sub Category,true,83,entry_title,Men's Road / Gravel Shorts Collection (Text Only)
242197070189,mens-road-gravel-shorts-collection-text-only,MERGE,Men's Road / Gravel Shorts Collection (Text Only),Active,2025-08-15 14:11:26 -0600,collection_sub_category,Collection Sub Category,,84,title,Men's Shorts
242197070189,mens-road-gravel-shorts-collection-text-only,MERGE,Men's Road / Gravel Shorts Collection (Text Only),Active,2025-08-15 14:11:26 -0600,collection_sub_category,Collection Sub Category,,85,image,
242197070189,mens-road-gravel-shorts-collection-text-only,MERGE,Men's Road / Gravel Shorts Collection (Text Only),Active,2025-08-15 14:11:26 -0600,collection_sub_category,Collection Sub Category,,86,url,https://www.pearlizumi.com/collections/mens-road-gravel-cycling-shorts
238462697837,mens-mtb-rain-jackets-collection-text-only,MERGE,Men's MTB Rain Jackets Collection (Text Only),Active,2025-08-06 09:04:14 -0600,collection_sub_category,Collection Sub Category,true,87,entry_title,Men's MTB Rain Jackets Collection (Text Only)
238462697837,mens-mtb-rain-jackets-collection-text-only,MERGE,Men's MTB Rain Jackets Collection (Text Only),Active,2025-08-06 09:04:14 -0600,collection_sub_category,Collection Sub Category,,88,title,Men's MTB Rain Jackets
238462697837,mens-mtb-rain-jackets-collection-text-only,MERGE,Men's MTB Rain Jackets Collection (Text Only),Active,2025-08-06 09:04:14 -0600,collection_sub_category,Collection Sub Category,,89,image,
238462697837,mens-mtb-rain-jackets-collection-text-only,MERGE,Men's MTB Rain Jackets Collection (Text Only),Active,2025-08-06 09:04:14 -0600,collection_sub_category,Collection Sub Category,,90,url,https://www.pearlizumi.com/collections/mens-mountain-bike-rain-jackets
242198348141,mens-road-gravel-tights-without-chamois-filter-text-only-1,MERGE,Men's Road / Gravel Tights with Chamois Filter (Text Only),Active,2025-08-29 13:13:50 -0600,collection_sub_category,Collection Sub Category,true,91,entry_title,Men's Road / Gravel Tights with Chamois Filter (Text Only)
242198348141,mens-road-gravel-tights-without-chamois-filter-text-only-1,MERGE,Men's Road / Gravel Tights with Chamois Filter (Text Only),Active,2025-08-29 13:13:50 -0600,collection_sub_category,Collection Sub Category,,92,title,Tights with Chamois
242198348141,mens-road-gravel-tights-without-chamois-filter-text-only-1,MERGE,Men's Road / Gravel Tights with Chamois Filter (Text Only),Active,2025-08-29 13:13:50 -0600,collection_sub_category,Collection Sub Category,,93,image,
242198348141,mens-road-gravel-tights-without-chamois-filter-text-only-1,MERGE,Men's Road / Gravel Tights with Chamois Filter (Text Only),Active,2025-08-29 13:13:50 -0600,collection_sub_category,Collection Sub Category,,94,url,https://www.pearlizumi.com/collections/mens-road-gravel-cycling-tights-bib-tights#/filter:tags_chamois:SELECT$2520Levitate$2520Chamois/filter:tags_chamois:ELITE$2520Levitate$2520Chamois
237972226413,mens-shoes-collection-text-only,MERGE,Men's Shoes Collection (Text Only),Active,2025-08-01 08:38:23 -0600,collection_sub_category,Collection Sub Category,true,95,entry_title,Men's Shoes Collection (Text Only)
237972226413,mens-shoes-collection-text-only,MERGE,Men's Shoes Collection (Text Only),Active,2025-08-01 08:38:23 -0600,collection_sub_category,Collection Sub Category,,96,title,Men's Shoes
237972226413,mens-shoes-collection-text-only,MERGE,Men's Shoes Collection (Text Only),Active,2025-08-01 08:38:23 -0600,collection_sub_category,Collection Sub Category,,97,image,
237972226413,mens-shoes-collection-text-only,MERGE,Men's Shoes Collection (Text Only),Active,2025-08-01 08:38:23 -0600,collection_sub_category,Collection Sub Category,,98,url,https://www.pearlizumi.com/collections/mens-cycling-shoes
243268780397,womens-road-gravel-gloves-collection-text-only,MERGE,Women's Road / Gravel Gloves Collection (Text Only),Active,2025-08-19 14:16:19 -0600,collection_sub_category,Collection Sub Category,true,99,entry_title,Women's Road / Gravel Gloves Collection (Text Only)
243268780397,womens-road-gravel-gloves-collection-text-only,MERGE,Women's Road / Gravel Gloves Collection (Text Only),Active,2025-08-19 14:16:19 -0600,collection_sub_category,Collection Sub Category,,100,title,Women's Gloves
243268780397,womens-road-gravel-gloves-collection-text-only,MERGE,Women's Road / Gravel Gloves Collection (Text Only),Active,2025-08-19 14:16:19 -0600,collection_sub_category,Collection Sub Category,,101,image,
243268780397,womens-road-gravel-gloves-collection-text-only,MERGE,Women's Road / Gravel Gloves Collection (Text Only),Active,2025-08-19 14:16:19 -0600,collection_sub_category,Collection Sub Category,,102,url,https://www.pearlizumi.com/collections/womens-road-gravel-cycling-gloves
238468137325,mens-mtb-cold-weather-gloves-filtered-text-only,MERGE,Men's MTB Cold Weather Gloves Filtered (Text Only),Active,2025-08-19 09:46:21 -0600,collection_sub_category,Collection Sub Category,true,103,entry_title,Men's MTB Cold Weather Gloves Filtered (Text Only)
238468137325,mens-mtb-cold-weather-gloves-filtered-text-only,MERGE,Men's MTB Cold Weather Gloves Filtered (Text Only),Active,2025-08-19 09:46:21 -0600,collection_sub_category,Collection Sub Category,,104,title,Cold Weather MTB Gloves
238468137325,mens-mtb-cold-weather-gloves-filtered-text-only,MERGE,Men's MTB Cold Weather Gloves Filtered (Text Only),Active,2025-08-19 09:46:21 -0600,collection_sub_category,Collection Sub Category,,105,image,
238468137325,mens-mtb-cold-weather-gloves-filtered-text-only,MERGE,Men's MTB Cold Weather Gloves Filtered (Text Only),Active,2025-08-19 09:46:21 -0600,collection_sub_category,Collection Sub Category,,106,url,https://www.pearlizumi.com/collections/mens-mountain-bike-gloves#/filter:ss_techicon:Insulated
243520864621,womens-clearance-collection-text-only-1,MERGE,Women's Clearance Collection (Text Only),Active,2025-08-20 12:48:43 -0600,collection_sub_category,Collection Sub Category,true,107,entry_title,Women's Clearance Collection (Text Only)
243520864621,womens-clearance-collection-text-only-1,MERGE,Women's Clearance Collection (Text Only),Active,2025-08-20 12:48:43 -0600,collection_sub_category,Collection Sub Category,,108,title,Women's Clearance
243520864621,womens-clearance-collection-text-only-1,MERGE,Women's Clearance Collection (Text Only),Active,2025-08-20 12:48:43 -0600,collection_sub_category,Collection Sub Category,,109,image,
243520864621,womens-clearance-collection-text-only-1,MERGE,Women's Clearance Collection (Text Only),Active,2025-08-20 12:48:43 -0600,collection_sub_category,Collection Sub Category,,110,url,https://www.pearlizumi.com/collections/womens-clearance
243601211757,mens-road-gravel-short-finger-gloves-filter-text-only,MERGE,Men's Road / Gravel Short Finger Gloves Filter (Text Only),Active,2025-08-21 11:34:27 -0600,collection_sub_category,Collection Sub Category,true,111,entry_title,Men's Road / Gravel Short Finger Gloves Filter (Text Only)
243601211757,mens-road-gravel-short-finger-gloves-filter-text-only,MERGE,Men's Road / Gravel Short Finger Gloves Filter (Text Only),Active,2025-08-21 11:34:27 -0600,collection_sub_category,Collection Sub Category,,112,title,Fingerless Gloves
243601211757,mens-road-gravel-short-finger-gloves-filter-text-only,MERGE,Men's Road / Gravel Short Finger Gloves Filter (Text Only),Active,2025-08-21 11:34:27 -0600,collection_sub_category,Collection Sub Category,,113,image,
243601211757,mens-road-gravel-short-finger-gloves-filter-text-only,MERGE,Men's Road / Gravel Short Finger Gloves Filter (Text Only),Active,2025-08-21 11:34:27 -0600,collection_sub_category,Collection Sub Category,,114,url,https://www.pearlizumi.com/collections/mens-road-gravel-cycling-gloves#/filter:tags_sub_type:Short$2520Finger$2520Glove
242187043181,womens-jerseys-collection-text-only,MERGE,Women's Jerseys Collection (Text Only),Active,2025-08-15 11:36:32 -0600,collection_sub_category,Collection Sub Category,true,115,entry_title,Women's Jerseys Collection (Text Only)
242187043181,womens-jerseys-collection-text-only,MERGE,Women's Jerseys Collection (Text Only),Active,2025-08-15 11:36:32 -0600,collection_sub_category,Collection Sub Category,,116,title,Women's Jerseys
242187043181,womens-jerseys-collection-text-only,MERGE,Women's Jerseys Collection (Text Only),Active,2025-08-15 11:36:32 -0600,collection_sub_category,Collection Sub Category,,117,image,
242187043181,womens-jerseys-collection-text-only,MERGE,Women's Jerseys Collection (Text Only),Active,2025-08-15 11:36:32 -0600,collection_sub_category,Collection Sub Category,,118,url,https://www.pearlizumi.com/collections/womens-cycling-jerseys
243602653549,womens-mountain-bike-jerseys-collection-text-only,MERGE,Women's Mountain Bike Jerseys Collection (Text Only),Active,2025-08-21 11:51:05 -0600,collection_sub_category,Collection Sub Category,true,119,entry_title,Women's Mountain Bike Jerseys Collection (Text Only)
243602653549,womens-mountain-bike-jerseys-collection-text-only,MERGE,Women's Mountain Bike Jerseys Collection (Text Only),Active,2025-08-21 11:51:05 -0600,collection_sub_category,Collection Sub Category,,120,title,Women's MTB Jerseys
243602653549,womens-mountain-bike-jerseys-collection-text-only,MERGE,Women's Mountain Bike Jerseys Collection (Text Only),Active,2025-08-21 11:51:05 -0600,collection_sub_category,Collection Sub Category,,121,image,
243602653549,womens-mountain-bike-jerseys-collection-text-only,MERGE,Women's Mountain Bike Jerseys Collection (Text Only),Active,2025-08-21 11:51:05 -0600,collection_sub_category,Collection Sub Category,,122,url,https://www.pearlizumi.com/collections/womens-mountain-bike-jerseys
238365540717,mens-mtb-shell-shorts-collection-text-only,MERGE,Men's MTB Liner Shorts Collection (Text Only),Active,2025-08-05 17:36:53 -0600,collection_sub_category,Collection Sub Category,true,123,entry_title,Men's MTB Liner Shorts Collection (Text Only)
238365540717,mens-mtb-shell-shorts-collection-text-only,MERGE,Men's MTB Liner Shorts Collection (Text Only),Active,2025-08-05 17:36:53 -0600,collection_sub_category,Collection Sub Category,,124,title,Men's Liner Shorts
238365540717,mens-mtb-shell-shorts-collection-text-only,MERGE,Men's MTB Liner Shorts Collection (Text Only),Active,2025-08-05 17:36:53 -0600,collection_sub_category,Collection Sub Category,,125,image,
238365540717,mens-mtb-shell-shorts-collection-text-only,MERGE,Men's MTB Liner Shorts Collection (Text Only),Active,2025-08-05 17:36:53 -0600,collection_sub_category,Collection Sub Category,,126,url,https://www.pearlizumi.com/collections/mens-liner-shorts
243602751853,womens-mountain-bike-gloves-collection-text-only,MERGE,Women's Mountain Bike Gloves Collection (Text Only),Active,2025-08-21 11:52:36 -0600,collection_sub_category,Collection Sub Category,true,127,entry_title,Women's Mountain Bike Gloves Collection (Text Only)
243602751853,womens-mountain-bike-gloves-collection-text-only,MERGE,Women's Mountain Bike Gloves Collection (Text Only),Active,2025-08-21 11:52:36 -0600,collection_sub_category,Collection Sub Category,,128,title,Women's MTB Gloves
243602751853,womens-mountain-bike-gloves-collection-text-only,MERGE,Women's Mountain Bike Gloves Collection (Text Only),Active,2025-08-21 11:52:36 -0600,collection_sub_category,Collection Sub Category,,129,image,
