ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Product: ID,Product: Handle,Product: Position,Product: Command,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: nogin.element_data [json],Metafield: nogin.layout [single_line_text_field],Metafield: custom.seo_description [rich_text_field],Metafield: ss_explosion [single_line_text_field],Metafield: plp.title [multi_line_text_field],Metafield: collection.banner_mobile [single_line_text_field],Metafield: collection.banner [single_line_text_field],Metafield: description_tag [multi_line_text_field],Metafield: title_tag [multi_line_text_field],Metafield: gendered_collection [string],Metafield: shogun.above [string],Metafield: shogun.below [string]
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,180,,7433407266904,hypernight-reflective-stash-vest,49,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,181,,7433406840920,hypernight-reflective-vest-lite,50,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,182,,7433403138136,hypernight-quickstart-2-0-4-liter-hydration-pack,51,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,183,,7433403039832,hypernight-reflective-beanie,52,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,184,,7369552724056,hypernight-reflective-straps,53,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,185,,8273246486616,pinnacle-soft-flask-handheld-14oz,54,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,186,,7548152741976,quicksqueeze-plus-handheld-bottle-18oz,55,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,187,,7433410412632,quicksqueeze-lite-handheld-18oz,56,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,188,,7433408217176,quicksqueeze-lite-insulated-handheld-12oz,57,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,189,,7433408086104,quicksqueeze-lite-handheld-12oz,58,MERGE,,,,,,,,,,,,,,
